'arf             	fél/fele         
'ave             	(van)            
'bout            	körül(belül)     
'd               	bírt             
'gainst          	ellen            
'neath           	lenn             
're              	vannak           
'shun            	vigyázz!         
'sides           	amellett         
'swounds         	a kutyafáját!    
'tis             	az (van)         
'twas            	volt             
'tween           	között           
'tween-deck      	fedélköz         
'twere           	voltam           
'twill           	leszek           
'twixt           	közben           
'un              	egy              
-bodied          	-testû           
-bottomed        	-fenekû          
-breasted        	-mellû           
-chested         	-mellû           
-chinned         	-állú            
-colored         	-színû           
-coloured        	-színû           
-edged           	-élû             
-eyed            	-szemû           
-faced           	-arcú            
-featured        	-vonású          
-fold            	-szeres          
-hearted         	-szívû           
-legged          	-lábú            
-like            	-szerû           
-lipped          	-ajkú            
-lived           	-életû           
-named           	-nevû            
-natured         	-természetû      
-nosed           	-orrú            
-operated        	mûködésû         
-paced           	-lépésû          
-pated           	-fejû            
-pounder         	-súlyú           
-powered         	-hajtású         
-seated          	-ülõ             
-seater          	-ülésû           
-shapen          	-alakú           
-sided           	oldalú           
-sighted         	-látású          
-sized           	-nagyságú        
-skinned         	-bõrû            
-sleeved         	-ujjú            
-statured        	-termetû         
-storeyed        	-emeletes        
-storied         	emeletes         
-syllabled       	-szótagú         
-tailed          	-farkú           
-tempered        	-természtû       
-wards           	-felé            
-wise            	-módon           
-witted          	eszû             
-wort            	-fû              
-wright          	-mûves           
a                	egy              
a bad break      	nagy pech        
a bad sort       	nem jó ember     
a bare tree      	kopasz fa        
a bevy of girls  	egy csapat lány  
a big deal       	jó fogás         
a big pot        	nagyfejû         
a bit            	egy kissé        
a bit on         	kissé spicces    
a block of flats 	bérház           
a bottle of milk 	egy üveg tej     
a bottle of wine 	egy üveg bor     
a box of matches 	egy doboz gyufa  
a burst tyre     	durrdefekt       
a busy day       	zsúfolt nap      
a cake of        	egy darab        
a case in point  	hasonló eset     
a certain        	egy bizonyos     
a coming man     	a jövõ embere    
a couple of      	egy pár          
a cup of coffee  	egy csésze kávé  
a cup of tea     	egy csésze tea   
a cut above      	valamivel jobb   
a dash of        	egy csipetnyi    
a day off        	szabadnap        
a day's run      	egynapi út       
a day's work     	egy napi munka   
a dead end       	zsákutca         
a dead shot      	mesterlövész     
a dirty trick    	aljas kitolás    
a dish of tea    	egy csésze tea   
a dozen of eggs  	egy tucat tojás  
a fair name      	jóhírnév         
a fair number    	meglehetõs sok   
a fall in prices 	áresés           
a far cry        	messze           
a feeling heart  	érzõ kebel/szív  
a few            	(egy)néhány      
a first          	elõször          
a flat tyre      	gumidefekt       
a friend of mine 	egy barátom      
a game fellow    	kemény legény    
a gone con       	tönkrement ember 
a good buy       	jó üzlet         
a good deal      	nagyon sokat     
a good deal of   	sok              
a good draw      	jó fogás         
a good fellow    	jópajtás/cimbora 
a good few       	jó egynéhány(an) 
a good many      	jó sok           
a good speller   	jó helyesíró     
a good while     	jó ideje         
a grand fellow   	remek fickó      
a great deal     	jó sok           
a great many     	jó sok           
a griping pains  	hascsikarás      
a hearty meal    	bõséges étkezés  
a heavy purse    	gazdagság        
a host of        	temérdek sok     
a jar of honey   	egy üveg méz     
a jug of water   	egy kancsó víz   
a keg of wine    	egy hordó bor    
a la carte       	étlap szerint    
a likely lad     	belevaló gyerek  
a little         	kevés            
a little bit     	egy kicsit       
a little money   	egy kis pénz     
a little more    	még egy kevés    
a long dozen     	tizenhárom       
a long figure    	borsos ár        
a long purse     	gazdagság        
a long time ago  	régen            
a long way about 	nagy kerülõ      
a lot            	egy csomó        
a lot better     	sokkal jobban    
a lot of         	sok              
a lot of things  	sok minden(t)    
a made man       	befutott ember   
a man's man      	talpig férfi     
a matter of      	összesen kb.     
a mean trick     	aljas trükk      
a measure of     	némi             
a mile of        	egy mérföldnyire 
a mint of money  	rengeteg pénz    
a morning off    	szabad délelõtt  
a mug of beer    	egy korsó sör    
a nervous wreck  	idegroncs        
a nice mess      	szép kis helyzet 
a number of      	számos/sok       
a pack of lies   	csupa hazugság   
a pair of        	egy pár          
a pall of smoke  	füstfátyol       
a parting kiss   	búcsúcsók        
a peg to hang on 	jó alkalom/ürügy 
a perfect scream 	irtó klassz      
a personal touch 	egyéni vonás     
a piece of bread 	egy darab kenyér 
a piece of cake  	kellemes dolog   
a piece of chalk 	egy darab kréta  
a piece of news  	(egy) hír        
a plague on you  	a fene egyen meg 
a plate of soup  	egy tányér leves 
a poor show      	gyenge szereplés 
a pound of sugar 	egy font cukor   
a quantity of    	igen sok         
a raving lunatic 	dühöngõ õrült    
a rough crossing 	viharos átkelés  
a run of luck    	sikersorozat     
a seal of love   	szerelem záloga  
a shade better   	valamivel jobban 
a short way off  	nem messze       
a slice of lemon 	citromkarika     
a slipped disc   	porckorongsérv   
a smack of       	egy csipetnyi    
a soaking wet    	bõrig ázott      
a sort of        	afféle           
a sound trashing 	alapos verés     
a sprinkle of    	egy csipetnyi    
a steady demand  	állandó kereslet 
a steady hand    	szilárd kéz      
a swung dash     	hullámjel <~>    
a taste of       	ízelítõ          
a tender spot    	kényes pont      
a tight corner   	szorult helyzet  
a tight spot     	nehéz helyzet    
a touch of flu   	egy kis meghûlés 
a trifle         	egy parányit     
a true copy      	hiteles másolat  
a true story     	igaz történet    
a wee bit        	egy (ici)picit   
a week hence     	mához egy hétre  
a whale of       	rengeteg         
a whipped cream  	tejszínhab       
a wide range of  	széles körû      
a woman's suit   	kosztüm          
a world of       	temérdek sok     
a year           	évente           
a year ago       	tavaj            
a.c.             	váltóáram        
a.m.             	délelõtt         
a/c              	folyószámla      
aback            	hátra            
abacus           	golyós számológép
abandon          	elhagy           
abandoned        	elhagyatott      
abandonment      	elhagyás         
abase            	megaláz          
abasement        	lealacsonyítás   
abaser           	valami           
abash            	megszégyenít     
abate            	csökken(t)       
abatement        	csökken(t)és     
abattoir         	vágóhíd          
abbey            	apátság          
abbot            	apát             
abbreviate       	rövidít          
abbreviated      	rövidítve        
abbreviation     	rövidítés        
abbreviations    	rövidítések      
abc              	ábécé            
abdicate         	lemond           
abdication       	lemondás         
abdomen          	has              
abdominal        	hasi             
abduct           	erõszakkal szökte
abed             	ágyban           
abend            	szabálytalan befe
aberration       	eltérés          
abet             	elõsegít         
abetment         	bûnpártolás      
abetter          	bûnsegéd         
abetting         	felbújtó         
abettor          	bûnsegéd         
abeyance         	bizonytalan ügy  
abhor            	utál             
abhorrence       	undor            
abhorrent        	iszonyatos       
abide            	tartózkodik      
abide by         	ragaszkodik      
abiding          	maradandó        
ability          	képesség         
abject           	szánalmas        
abject poverty   	sötét nyomor     
abject terror    	pánik            
abjection        	alávalóság       
abjectly         	alávalóan        
abjure           	esküvel tagad    
ablaze           	lángban álló     
able             	képes, tud       
able-bodied      	jó erõben lévõ   
ablution         	kézmosás         
ably             	ügyesen          
abnegation       	lemondás         
abnormal         	rendellenes      
aboard           	hajón            
abode            	lak(ó)hely       
abolish          	eltüntet         
abolition        	megszüntetés     
abolitionist     	rabszolgafelszaba
abominable       	utálatos         
abominate        	undorodik        
abomination      	utálat           
aboriginal       	õsi              
aborigines       	õslakók          
abort            	megszakít        
aborting         	megszakítás      
abortion         	abortusz         
abortive         	meddõ            
abound           	bõvelkedik       
abound in        	bõvelkedik       
abound with      	hemzseg          
about            	felõl            
about here       	ezen a tájon     
about turn       	hátra arc        
above            	felett           
above all        	mindenekelõtt    
above price      	megfizethetetlen 
aboveboard       	korrekt          
above-board      	õszinte          
abovementioned   	fent említett    
above-mentioned  	fentemlített     
abrade           	ledörzsöl        
abrasion         	ledörzsölés      
abrasive         	ledörzsölõ       
abreact          	lereagál         
abreast          	egymás mellett   
abridge          	megrövidít       
abroad           	külföldön        
abrogate         	megszüntet       
abrogation       	eltörlés         
abrupt           	hirtelen         
abruptly         	hirtelen         
abscess          	tályog           
abscond          	megszökik        
absence          	távollét         
absence of mind  	szórakozottság   
absent           	távollévõ        
absent oneself   	távol marad      
absentee         	renitens távolmar
absenteeism      	rendszeres lógás 
absentminded     	szórakozott      
absent-minded    	szórakozott      
absentmindedness 	feledékenység    
absent-mindedness	szórakozottság   
absolute         	teljes           
absolute value   	abszolút érték   
absolutely       	teljesen         
absolution       	felmentés        
absolutism       	abszolutizmus    
absolve          	felment          
absorb           	elnyel           
absorbent        	felszívóképes    
absorption       	felszívás        
abstain          	tartózkodik      
abstainer        	antialkoholista  
abstemious       	mértékletes      
abstention       	tartózkodás      
abstinence       	tartózkodás      
abstinent        	önmegtartóztató  
abstract         	elvont           
abstracted       	elvonatkoztatott 
abstraction      	elvontság        
abstruse         	homályos         
absurd           	képtelen         
absurdity        	lehetetlenség    
abundance        	bõség            
abundant         	bõséges          
abuse            	visszaélés       
abusive          	sértegetõ        
abut             	összeér          
abutment         	alátámasztás     
abysmal          	feneketlen       
abyss            	mélység          
abyssinia        	abesszinia       
acacia           	akác             
academic         	elméleti         
academical       	fõiskolai        
academician      	akadémikus       
academy          	fõiskola         
accede           	megegyezik       
accelerate       	siettet          
acceleration     	gyorsulás        
accelerator      	gyorsító         
accent           	hangsúly(oz)     
accentuate       	hangsúlyoz       
accentuation     	(ki)hangsúlyozás 
accept           	elfogad          
acceptable       	elfogadható      
acceptance       	elfogadás        
acceptation      	szokásos         
accepted         	elfogadott       
acces road       	ráhajtó út       
access           	elérés           
access denied    	az elérés tilos  
access path      	elérési út       
accessibility    	hozzáférhetõség  
accessible       	megközelíthetõ   
accession        	szaporulat       
accessories      	tartozékok       
accessory        	mellék           
accidence        	alaktan          
accident         	baleset          
accidental       	véletlen         
accidental error 	véletlen hiba    
accidentally     	véletlenül       
acclaim          	hangosan üdvözöl 
acclamation      	helyeslés        
acclimatization  	meghonosítás     
acclimatize      	megszoktat       
acclivity        	meredek/emelkedõ 
accolade         	elismerés        
accommodate      	hozzáalkalmaz    
accommodating    	szíves           
accommodation    	alkalmazkodás    
accommodations   	szállás/lakás    
accomodate       	hozzáilleszt     
accomodation     	elhelyezés       
accomodation fee 	szállásdíj       
accompaintment   	kísérõ jelenség  
accompanied by   	vele utazó       
accompanist      	kísérõ           
accompany        	kísér            
accompanying     	kapcsolatban levõ
accomplice       	bûnrészes        
accomplish       	megvalósít       
accomplished     	mûvelt           
accomplishment   	befejezés        
accord           	kiegyezés        
accord credit    	hitelt nyújt     
accordance       	egyetértés       
accordance with  	szerint          
according        	amennyiben       
according as     	aszerint, hogy   
according to     	értelmében       
accordingly      	eszerint         
accost           	leszólít         
account          	számla           
account current  	folyószámla      
account for      	igazol           
accountable      	felelõs          
accountancy      	könyvelõség      
accountant       	számvevõ         
accounting       	könyvelés        
accoutrements    	felszerelés      
accredit         	megbízólevélel el
accredited       	meghatalmazott   
accretion        	növekedés        
accrue           	növekszik        
accumulate       	gyûjt            
accumulated      	felhalmozott     
accumulation     	felhalmozódás    
accumulator      	akkumulátor      
accuracy         	pontosság        
accurate         	pontos           
accurately       	pontosan         
accursed         	átkozott         
accusation       	vád              
accusative       	tárgyeset        
accuse           	vádol            
accused          	vádlott          
accuser          	vádló            
accusing         	vádoló           
accustom         	hozzászoktat     
accustomed       	szokásos         
ace              	ász              
acerbity         	savanyúság       
acetic           	ecetes           
acetylene        	acetilén         
ache             	fáj              
achieve          	végrehajt        
achievement      	teljesítés       
aching           	fájó             
acid             	sav              
acid drop        	savanyú cukorka  
acid level       	savszint         
acid test        	döntõ próba      
acidity          	savanyúság       
acid-proof       	saválló          
ack              	nyugtázás        
acknowledge      	nyugtáz          
acknowledged     	elismert         
acknowledgement  	elismerés        
acme             	tetõpont         
acne             	pattanás/serkenés
acorn            	makk             
acoustic         	hangtani         
acoustics        	akusztika        
acquaint         	megismertet      
acquaintanceship 	ismeretségi kör  
acquaintenance   	ismeretség       
acquiesce        	belenyugszik     
acquiescence     	belenyugvás      
acquiescent      	engedékeny       
acquire          	megszerez        
acquirement      	elsajátítás      
acquisition      	nyereség         
acquisitive      	kapzsi           
acquit           	felment          
acquit oneself   	tisztázza magát  
acquittal        	felmentés        
acquittance      	kifizetés        
acre             	hektár           
acrid            	fanyar           
acridity         	fanyarúság       
acrimonious      	csípõs           
acrimony         	csípõsség        
acrobat          	légtornász/akroba
acrobatic        	akrobatikus      
acrobatics       	akrobatika       
